Original Sequence;Original Length;Transformed Sequence;Transformed Length
U Ub F U Lb B R Bb Rb U B U Bb Rb Ub Bb R D B D Bb Rb Bb F Lb U L Ub Lb Fb Lb B Fb Fb D D Fb Fb D D F F L F L Bb Lb B Fb Lb Rb Db Rb D D D Rb D R D R F L B Lb Fb L Bb Lb Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F R F L Fb Rb F Lb Fb;92;U U' F U L' B R B' R' U B U B' R' U' B' R D B D B' R' B' F L' U L U' L' F' L' B F2 D2 F2 D2 F2 L F L B' L' B F' L' R' D' R' D' R' D R D R F L B L' F' L B' L' D' F' R' D R F D F2 R F R' F R F L F' R' F L' F';82
Ub Db Db Fb Fb B Ub Lb U L D Lb B D D Bb Lb R F Rb L B U F Ub Rb Fb R R Bb F D R B R Bb Db Rb Rb Bb Rb B R Db B R D D F R F Rb Db Fb Rb Fb Rb Fb B F R Bb F R D Bb Bb Bb D Bb Db Bb L B Lb L L D L Ub Db U Db Db Lb Db Lb Db Lb D Lb Db Ub D U Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F Fb Rb Bb R B F Bb Rb B R;120;U' D2 F2 B U' L' U L D L' B D2 B' L' R F R' L B U F U' R' F' R2 B' F D R B R B' D' R2 B' R' B R D' B R D2 F R F R' D' F' R' F' R' F' B F R B' F R D B D B' D' B' L B L' L2 D L U' D' U D2 L' D' L' D' L' D L' D' U' D U D' F' R' D R F D F2 R F R' F F' R' B' R B F B' R' B R;107
U B R R D Rb D R Lb R Fb Rb L Bb D B B L B Lb Bb Db Bb B U F Ub Rb Fb R R Bb F Fb Lb Fb L D F Rb D R D F Db Fb B Lb Db L D L Bb Lb D Bb Rb B Db Bb D R B Db Db Bb Db Lb D L B Bb Lb Fb L B Lb F L D B Db Fb D Bb Db F Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F;102;U B R2 D R' D R L' R F' R' L B' D B2 L B L' B' D' B' B U F U' R' F' R2 B' F F' L' F' L D F R' D R D F D' F' B L' D' L D L B' L' D B' R' B D' B' D R B D2 B' D' L' D L B B' L' F' L B L' F L D B D' F' D B' D' F D' F' R' D R F D F2 R F R' F;95
U R Bb D D B Ub F U Lb R Lb F F L Rb R B R Bb Ub Bb U D D L Db Lb B Db Bb L R Lb Lb Ub Rb L Ub R U L Fb Lb Fb L D F Rb Lb B B Lb Lb B B L R L Db Lb Db Fb D F Bb Rb Bb L B R Lb B Db R D Rb Db Rb B R Bb R F L Fb Rb F Lb Fb R B Fb Bb Rb B R F R R R Bb;102;U R B' D2 B U' F U L' R L' F2 L R' R B R B' U' B' U D2 L D' L' B D' B' L R L2 U' R' L U' R U L F' L' F' L D F R' L' B2 L2 B2 L R L D' L' D' F' D F B' R' B' L B R L' B D' R D R' D' R' B R B' R F L F' R' F L' F' R B F' B' R' B R F R' B';93
U Fb Ub F Bb D Bb Fb Rb F Fb B Rb F Bb B D Bb Db Rb Bb R F L Fb Lb U Lb Ub F L Fb Db F R D F Db Rb Fb Db Lb F L F B D L Bb Lb Bb Db Db Lb D L D B Db Bb Db Db F Db Fb R Fb Rb F D Bb Lb Db L D B R B Fb Bb Rb B R F R R R Bb;88;U F' U' F B' D B' F' R' F F' B R' F B' B D B' D' R' B' R F L F' L' U L' U' F L F' D' F R D F D' R' F' D' L' F L F B D L B' L' B' D2 L' D L D B D' B' D2 F D' F' R F' R' F D B' L' D' L D B R B F' B' R' B R F R' B';84
L U Fb Fb Db Lb Lb D Bb F Lb Fb B Fb Fb Lb Fb Fb L Rb Db R Rb Db R D B R Bb Db R B R Bb Db Rb Rb Lb B B Lb Lb B B L R Db Db R D Rb Db Bb Db B Db L D Lb Db Fb Db F Rb Bb Db B D R F L D Lb Db Fb D R F L Fb Rb F Lb Fb;84;L U F2 D' L2 D B' F L' F' B F2 L' F2 L R' D' R R' D' R D B R B' D' R B R B' D' R2 L' B2 L2 B2 L R D2 R D R' D' B' D' B D' L D L' D' F' D' F R' B' D' B D R F L D L' D' F' D R F L F' R' F L' F';75
U Rb Bb R D F Lb Fb D Rb D R Lb Db Db L Fb B R R Bb F R Lb Fb Rb L D R B R Bb Db Rb Bb L B U B Ub Lb Lb F L U L Ub Fb L L L Db Lb Db L L D L D L D Bb Db Lb D L B L B R Bb Lb B Rb Bb R Db R D R D R Db Rb Db R R Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F;102;U R' B' R D F L' F' D R' D R L' D2 L F' B R2 B' F R L' F' R' L D R B R B' D' R' B' L B U B U' L2 F L U L U' F' L' D' L' D' L2 D L D L D B' D' L' D L B L B R B' L' B R' B' R D' R D R D R D' R' D' R2 D' F' R' D R F D F2 R F R' F;92
Ub R L Bb Rb B R Db L Db Lb B Fb R Bb F Lb B B B D B D L Bb Bb F Lb U L Ub Lb Fb Lb B Fb Lb Fb L D F R D Rb Db Bb Db B Lb D L Bb L B Lb Db Db F Db Fb R Fb Rb F D R F D Fb Db Rb D Fb Db Rb D R Fb Fb Fb Rb Db R D R D Fb Db Rb D F Db Rb Bb L B R Lb Db Lb D L;102;U' R L B' R' B R D' L D' L' B F' R B' F L' B' D B D L B2 F L' U L U' L' F' L' B F' L' F' L D F R D R' D' B' D' B L' D L B' L B L' D2 F D' F' R F' R' F D R F D F' D' R' D F' D' R' D R F R' D' R D R D F' D' R' D F D' R' B' L B R L' D' L' D L;96
Lb Rb D Rb Fb Fb Rb L B R Lb L F L Fb D Lb F Bb Lb Lb B Fb Bb L U Lb Ub Lb Bb U Bb Bb Rb Bb Rb B R B R B Rb Bb Rb Fb Fb R F Db F R Lb Bb Lb B D L B D D L Bb Lb D D Bb B D Bb Db Lb Db L Lb Fb Db F D Lb Lb Lb B R D Rb Db Bb D Fb R F Lb Fb Rb F Lb Lb Lb;98;L' R' D R' F2 R' L B R L' L F L F' D L' F B' L2 B F' B' L U L' U' L' B' U B2 R' B' R' B R B R B R' B' R' F2 R F D' F R L' B' L' B D L B D2 L B' L' D2 B' B D B' D' L' D' L L' F' D' F D L B R D R' D' B' D F' R F L' F' R' F L;88
Ub Rb B R D Rb Db R Rb L Bb R Lb Fb B Rb Bb F Fb Lb Fb L Db F Rb Fb Fb R F Db F R Db L D F Lb Fb Lb Lb Bb Lb F L Fb B L Db Rb Db Rb Rb Db R R Db Db R Db Bb D B R F D Fb Db Rb Db Lb U Lb Db Ub D Lb Lb U D L Db L D Lb Lb Ub Db D D Bb D D B D Bb Bb D F Db B D B Fb Db Rb Bb L B R Lb Db Lb D L;114;U' R' B R D R' D' R R' L B' R L' F' B R' B' F F' L' F' L D' F R' F2 R F D' F R D' L D F L' F' L2 B' L' F L F' B L D' R' D' R2 D' R2 D2 R D' B' D B R F D F' D' R' D' L' U L' D' U' D L2 U D L D' L D L2 U' D' D2 B' D2 B D B2 D F D' B D B F' D' R' B' L B R L' D' L' D L;104
