Original Sequence;Original Length;Transformed Sequence;Transformed Length
B U B Db R D Rb L U Bb Ub R F Rb Fb D F L D Lb B L B Lb Ub Lb U Bb Db Rb Db B R B D R R B R Bb Db Rb D B D D R Db Rb Db Db Bb D F R Fb Rb Db R D F Db Rb Fb D Bb Lb Fb L B Lb F L D B Db Fb D Bb Db F Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F;96;B U B D' R D R' L U B' U' R F R' F' D F L D L' B L B L' U' L' U B' D' R' D' B R B D R2 B R B' D' R' D B D2 R D' R' D2 B' D F R F' R' D' R D F D' R' F' D B' L' F' L B L' F L D B D' F' D B' D' F D' F' R' D R F D F2 R F R' F;90
Rb Fb Db L L Bb D Lb D L R D Rb Db Fb Rb F Lb Db L D F L Fb B Db Ub B Db Bb D U Bb Fb Db F R D F Db Rb D R D B Rb Bb Rb Fb Fb D D Fb Fb D D F F Lb Bb L B Db Bb Lb B Lb Lb Lb Bb Lb Db L D B R Db Fb Db F D D Rb Fb R Db Rb F Bb Lb F L B Lb Fb L;96;R' F' D' L2 B' D L' D L R D R' D' F' R' F L' D' L D F L F' B D' U' B D' B' D U B' F' D' F R D F D' R' D R D B R' B' R' F2 D2 F2 D2 F2 L' B' L B D' B' L' B L B' L' D' L D B R D' F' D' F D2 R' F' R D' R' F B' L' F L B L' F' L;87
Lb Rb Bb Rb Fb L D Lb B Db Bb Ub Bb Rb Bb R U R D D L Db Lb B Db Bb L Rb D B D Bb Db Bb R R B R Bb Db Rb D Db Fb D F D L F Db Db Db L Db Lb Fb Lb Bb Lb Db L D B D Rb Db Bb D B R Fb Rb Bb R B F Bb Rb B R;80;L' R' B' R' F' L D L' B D' B' U' B' R' B' R U R D2 L D' L' B D' B' L R' D B D B' D' B' R2 B R B' D' R' D D' F' D F D L F D L D' L' F' L' B' L' D' L D B D R' D' B' D B R F' R' B' R B F B' R' B R;76
Ub Db Bb Bb Fb Rb F Db L D Lb B U B Rb Bb Rb Ub Lb Db B Db Bb L D L Bb F Bb Ub Fb B Ub F U B Bb Db Rb B R B D F R R Fb Rb D Rb Fb Bb D B Rb B R Bb Lb Db L Fb Lb D L F Db Fb D B Db F D Bb Db R Db R D R D R Db Rb Db R R Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F R F L Fb Rb F Lb Fb;110;U' D' B2 F' R' F D' L D L' B U B R' B' R' U' L' D' B D' B' L D L B' F B' U' F' B U' F U B B' D' R' B R B D F R2 F' R' D R' F' B' D B R' B R B' L' D' L F' L' D L F D' F' D B D' F D B' D' R D' R D R D R D' R' D' R2 D' F' R' D R F D F2 R F R' F R F L F' R' F L' F';104
Db L L B R Bb Lb R F Rb L Rb Fb Rb F U F Ub Bb Bb Fb U F Bb U Fb Ub Bb B Db Bb Db Rb B R Bb Db Rb B R B R D B Rb Bb Rb Db Lb F L Fb L D Lb D F R Fb Rb Db R D F Db Rb Fb D Db Db R F L Fb Rb F Lb Fb Fb Rb F Lb Fb R F Rb L Rb Rb Rb;90;D' L2 B R B' L' R F R' L R' F' R' F U F U' B2 F' U F B' U F' U' B' B D' B' D' R' B R B' D' R' B R B R D B R' B' R' D' L' F L F' L D L' D F R F' R' D' R D F D' R' F' D D2 R F L F' R' F L' F2 R' F L' F' R F R' L R;84
U B Fb Fb Ub R U Fb Bb Db Db B Lb Bb Lb B Db L Fb B R F Bb Fb Fb D Fb Db F F Lb F L Rb Fb Fb R F Db F R Fb Fb D D Fb Fb D D F F Lb Fb Lb Db Fb D L F L Lb B F Bb Bb Lb Fb L B L D R F D Fb Db Rb D Lb Fb Db F D L Db Rb Bb R Fb Rb B R F D Fb Db F B Db Db Fb Db F Db Db Bb Lb Fb Rb F L Fb R F;114;U B F2 U' R U F' B' D2 B L' B' L' B D' L F' B R F B' F2 D F' D' F2 L' F L R' F2 R F D' F R F2 D2 F2 D2 F2 L' F' L' D' F' D L F L L' B F B2 L' F' L B L D R F D F' D' R' D L' F' D' F D L D' R' B' R F' R' B R F D F' D' F B D2 F' D' F D2 B' L' F' R' F L F' R F;101
Lb Db B Rb Lb F L R Bb Db R D Rb B Fb R R Bb F Lb Db B Db Bb L D L Bb D B Lb Bb L B L Db Bb Rb Lb B B Lb Lb B B L R Lb Bb Lb F L Fb B L Rb Fb Rb Fb B F R Bb F R D Lb Fb Db F D Lb Lb Lb Lb Db Fb D F L D R Db Fb Db F D D Rb Fb R Db Rb F Bb Lb F L B Lb Fb L;102;L' D' B R' L' F L R B' D' R D R' B F' R2 B' F L' D' B D' B' L D L B' D B L' B' L B L D' B' R' L' B2 L2 B2 L R L' B' L' F L F' B L R' F' R' F' B F R B' F R D L' F' D' F D D' F' D F L D R D' F' D' F D2 R' F' R D' R' F B' L' F L B L' F' L;93
U Ub Lb U D Bb Db B B Db Db Bb Bb F L Fb B Fb B R R Bb F Fb Fb D Fb Db F F Lb F L Rb Fb Rb F D R D B Db Bb Db Lb D L R B R Fb Rb F Bb Rb Db Fb D F D L F Db Db Db L Db Lb Fb Lb Bb Db Lb D L B Db Rb Bb Db B D R Lb U Lb Db Ub D Lb Lb U D L Db L D Lb Lb Ub Db D Fb Db F B Db Db Fb Db F Db Db Bb;114;U U' L' U D B' D' B2 D2 B2 F L F' B F' B R2 B' F F2 D F' D' F2 L' F L R' F' R' F D R D B D' B' D' L' D L R B R F' R' F B' R' D' F' D F D L F D L D' L' F' L' B' D' L' D L B D' R' B' D' B D R L' U L' D' U' D L2 U D L D' L D L2 U' D' D F' D' F B D2 F' D' F D2 B';102
B Rb Fb Lb R F Rb L B R D Rb D Bb R Db Rb Rb Fb Rb Rb F R Rb D R Fb R F Rb Lb F L Fb L D Lb Bb Db Rb B R B Rb Bb Db Rb B R B D R D D Rb B R Fb Rb Bb R F Bb Lb F L B Lb Fb L;70;B R' F' L' R F R' L B R D R' D B' R D' R2 F' R2 F R R' D R F' R F R' L' F L F' L D L' B' D' R' B R B R' B' D' R' B R B D R D2 R' B R F' R' B' R F B' L' F L B L' F' L;67
R D Bb Db B L Rb Bb Bb R Lb Fb Rb Db R Db F D Fb L D Lb F D Fb B Fb Rb F Bb Fb Db Lb F L F L Db Lb Db Fb D F Db Rb Db Rb Rb Db R R Db Db R Db Bb D B Bb Db Lb D L B B R D Rb Db Bb D Lb U Lb Db Ub D Lb Lb U D L Db L D Lb Lb Ub Db Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F;104;R D B' D' B L R' B2 R L' F' R' D' R D' F D F' L D L' F D F' B F' R' F B' F' D' L' F L F L D' L' D' F' D F D' R' D' R2 D' R2 D2 R D' B' D B B' D' L' D L B2 R D R' D' B' D L' U L' D' U' D L2 U D L D' L D L2 U' D2 F' R' D R F D F2 R F R' F;93
Fb Ub F F Ub Rb U Rb Db R Bb D B R D Rb Bb Bb D Rb Db Rb Bb D R Bb B B D Bb Db Bb Bb Rb B R Lb Lb D Lb Db L L Bb L B Rb Fb Rb F D R Rb Lb B B Lb Lb B B L R L F L Bb Lb B Fb Lb Db Rb Db Rb Rb Db R R Db Db R Db Bb D B D Lb Db Fb D F L D Rb Bb Lb B R Bb L B D D Bb D D B D Bb Bb D F Db B D B Fb Db;118;F' U' F2 U' R' U R' D' R B' D B R D R' B2 D R' D' R' B' D R B' B2 D B' D' B2 R' B R L2 D L' D' L2 B' L B R' F' R' F D R R' L' B2 L2 B2 L R L F L B' L' B F' L' D' R' D' R2 D' R2 D2 R D' B' D B D L' D' F' D F L D R' B' L' B R B' L B D2 B' D2 B D B2 D F D' B D B F' D';103
Ub R Ub L U Bb F Ub F U Fb Lb R Db Rb L Lb Db L L Fb Db F Lb Db L F Rb Db Fb Db F R R D B Rb Bb Rb Bb Rb B Db Bb D R B D D F Lb Fb L Fb Db F Db Rb Bb Db B D R D D Bb D D B D Bb Bb D F Db B D B Fb Db Rb Bb L B R Lb Db Lb D L;90;U' R U' L U B' F U' F U F' L' R D' R' L L' D' L2 F' D' F L' D' L F R' D' F' D' F R2 D B R' B' R' B' R' B D' B' D R B D2 F L' F' L F' D' F D' R' B' D' B D R D2 B' D2 B D B2 D F D' B D B F' D' R' B' L B R L' D' L' D L;84
F R Lb Db Db B Lb D L B D Bb F L D Lb D Fb Bb F L Fb B Bb D B B L B Lb Bb Db Bb R F R U R F F Rb Fb Ub Fb R Rb Fb Fb R F Db F R B D L Bb Lb Bb Db Lb D L Bb L B Lb F R Lb Rb L R F R Lb Rb Fb Rb L Fb Db Bb Db Lb D L B L D B Db Bb Lb Db F F D F Ub D U Fb Db Fb Db Fb D F F F D D Bb D D B D Bb Bb D F Db B D B Fb Db Rb Bb L B R Lb Db Lb D L;138;F R L' D2 B L' D L B D B' F L D L' D F' B' F L F' B B' D B2 L B L' B' D' B' R F R U R F2 R' F' U' F' R R' F2 R F D' F R B D L B' L' B' D' L' D L B' L B L' F R L' R' L R F R L' R' F' R' L F' D' B' D' L' D L B L D B D' B' L' D' F2 D F U' D U F' D' F' D' F' D F' D2 B' D2 B D B2 D F D' B D B F' D' R' B' L B R L' D' L' D L;128
Bb Lb F L R Lb F L Fb D F Rb Ub Rb B R B U Lb R Fb L Rb B Db Bb Db Rb B R Rb Fb Fb R F Db F R B L Db Lb Bb L D Lb L L L Db Lb Db L L D L D L R F D Fb Db Rb Db L Db Rb D Lb Db R Db Db Db D D Bb D D B D Bb Bb D F Db B D B Fb Db R B Fb Bb Rb B R F R R R Bb;104;B' L' F L R L' F L F' D F R' U' R' B R B U L' R F' L R' B D' B' D' R' B R R' F2 R F D' F R B L D' L' B' L D L' L' D' L' D' L2 D L D L R F D F' D' R' D' L D' R' D L' D' R D D2 B' D2 B D B2 D F D' B D B F' D' R B F' B' R' B R F R' B';93
F R U Db L L Bb D B B Lb Db L Rb Ub Rb B R B U D Fb L D Lb F D Fb Db B L D Lb Bb Db Bb Lb B B D L Bb Lb Bb F D R Fb Rb Fb Lb D L Bb L B Lb Db L D Lb Db Fb Db F Db Bb Bb Bb D Bb Db Bb L B Lb Lb D R Db L D Rb Db R B Fb Bb Rb B R F R R R Bb;96;F R U D' L2 B' D B2 L' D' L R' U' R' B R B U D F' L D L' F D F' D' B L D L' B' D' B' L' B2 D L B' L' B' F D R F' R' F' L' D L B' L B L' D' L D L' D' F' D' F D' B D B' D' B' L B L2 D R D' L D R' D' R B F' B' R' B R F R' B';88
Ub Fb Lb Fb L Fb R U F Rb B Fb R F Bb Rb Fb R R F R B Lb Db L Bb Db B L Fb Db F Lb Db L R D B Rb Bb Rb Bb Rb Bb L B Lb R B Lb Db L Fb Lb D L F D Bb Db Lb D L B D Rb Db Bb D B R Rb Rb Db Rb Db R D R D R Db R Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F Fb Rb Bb R B F Bb Rb B R;108;U' F' L' F' L F' R U F R' B F' R F B' R' F' R2 F R B L' D' L B' D' B L F' D' F L' D' L R D B R' B' R' B' R' B' L B L' R B L' D' L F' L' D L F D B' D' L' D L B D R' D' B' D B R R2 D' R' D' R D R D R D' R D' F' R' D R F D F2 R F R' F F' R' B' R B F B' R' B R;103
R Db L Bb Bb Db B Db L Fb Lb D D B L Bb Db Lb Db Bb D L F Rb Db Fb Db F R F D R Fb Rb Fb Bb Rb Db B Rb Bb R D R Db B D F R Fb Rb Db R D F Db Rb Fb D Fb D B Db F D Bb Db R Db R D R D R Db Rb Db R R Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F R F L Fb Rb F Lb Fb;102;R D' L B2 D' B D' L F' L' D2 B L B' D' L' D' B' D L F R' D' F' D' F R F D R F' R' F' B' R' D' B R' B' R D R D' B D F R F' R' D' R D F D' R' F' D F' D B D' F D B' D' R D' R D R D R D' R' D' R2 D' F' R' D R F D F2 R F R' F R F L F' R' F L' F';96
Lb F L Bb L Bb Lb L Db Lb F Bb Db Fb D B F Db Fb Rb Db R Bb Lb B D L D Lb Fb Db Lb F L F Db Lb Db Bb L B L Bb Db Rb B R B Lb B F Bb Bb Lb Fb L B L D Rb Db R D D D Rb D D R D Fb Rb Bb R B F Bb Rb B R;80;L' F L B' L B' L' L D' L' F B' D' F' D B F D' F' R' D' R B' L' B D L D L' F' D' L' F L F D' L' D' B' L B L B' D' R' B R B L' B F B2 L' F' L B L D R' D' R D' R' D2 R D F' R' B' R B F B' R' B R;76
L R Fb R Lb F Rb L L Db Lb Bb Lb B B L B Lb Ub Lb U Rb Fb Rb F U F Ub Bb Lb Lb B D Bb L B Rb Fb Fb R F Db F R Lb Bb Lb B D L Db Db R D Rb Db Bb Db B Db Fb D F D L F Db Db Db L Db Lb Fb Lb Rb Bb Db B D R Fb Rb F Lb Fb R F Rb L Rb Rb Rb;92;L R F' R L' F R' L2 D' L' B' L' B2 L B L' U' L' U R' F' R' F U F U' B' L2 B D B' L B R' F2 R F D' F R L' B' L' B D L D2 R D R' D' B' D' B D' F' D F D L F D L D' L' F' L' R' B' D' B D R F' R' F L' F' R F R' L R;83
D B Lb Fb Fb L D Lb Db L B Fb R Bb F F Db Fb Rb Db R B D Bb Db Rb Bb Rb Rb Rb D Rb D R Fb R F Rb B D L Bb Lb Bb B Rb Bb R Bb Db B Fb Lb Fb R F L Rb F D R D Rb Db Rb B R Bb Db Rb Bb Db B D R Lb U Lb Db Ub D Lb Lb U D L Db L D Lb Lb Ub Db D Fb Db F B Db Db Fb Db F Db Db Bb;106;D B L' F2 L D L' D' L B F' R B' F2 D' F' R' D' R B D B' D' R' B' R D R' D R F' R F R' B D L B' L' B' B R' B' R B' D' B F' L' F' R F L R' F D R D R' D' R' B R B' D' R' B' D' B D R L' U L' D' U' D L2 U D L D' L D L2 U' D' D F' D' F B D2 F' D' F D2 B';98
F Ub Ub D L L R Db Rb B R Lb F Rb L B Fb R R Bb F R D Lb Db L Rb Fb R Fb Rb F F Bb Db B D R B R Bb Db Rb B D L Bb Lb Bb Bb Lb D Bb Lb B L B D R Db Rb B Rb Bb R R Db Fb Db F D D Rb Fb R Db Rb F Bb Lb F L B Lb Fb L;86;F U2 D L2 R D' R' B R L' F R' L B F' R2 B' F R D L' D' L R' F' R F' R' F2 B' D' B D R B R B' D' R' B D L B' L' B2 L' D B' L' B L B D R D' R' B R' B' R2 D' F' D' F D2 R' F' R D' R' F B' L' F L B L' F' L;79
U R Fb Fb Ub F U Lb Bb R Db Rb B B Lb R F F Rb L Lb B D Bb L D Lb Rb Rb Db B D Rb Rb B Db Bb Bb L B U B Ub Lb D F R F Rb Db Fb D Lb Db Db Fb Db F D D L F R Lb Rb L R F R Lb Rb Fb Rb L Fb L B R Bb Lb B Rb Bb Rb Bb L B R Bb Lb B D D Bb D D B D Bb Bb D F Db B D B Fb Db R B Fb Bb Rb B R F R R R Bb;120;U R F2 U' F U L' B' R D' R' B2 L' R F2 R' L L' B D B' L D L' R2 D' B D R2 B D' B2 L B U B U' L' D F R F R' D' F' D L' D2 F' D' F D2 L F R L' R' L R F R L' R' F' R' L F' L B R B' L' B R' B' R' B' L B R B' L' B D2 B' D2 B D B2 D F D' B D B F' D' R B F' B' R' B R F R' B';107
B Lb Lb Db B Rb Bb Bb F Lb Fb B F Db Fb Rb Db R Fb Lb Fb L Db F Rb Bb R D B D Bb B D L Bb Lb Bb D Lb Db Db Fb Db F D D L Rb Fb Rb Fb B F R Bb F R Db Db R F D Fb Db Rb D R Db Fb Db F D D Rb Fb R Db Rb F D D Bb D D B D Bb Bb D F Db B D B Fb Db Rb Bb L B R Lb Db Lb D L;106;B L2 D' B R' B2 F L' F' B F D' F' R' D' R F' L' F' L D' F R' B' R D B D B' B D L B' L' B' D L' D2 F' D' F D2 L R' F' R' F' B F R B' F R D2 R F D F' D' R' D R D' F' D' F D2 R' F' R D' R' F D2 B' D2 B D B2 D F D' B D B F' D' R' B' L B R L' D' L' D L;97
B U U B Fb D R R F Fb Db F B Fb R Bb F Lb Fb Db F Db L Bb F Lb U L Ub Lb Fb Lb B R B R Bb Db Rb L Db Lb F Lb Fb L B Rb Bb R Bb Db B Rb B Db Bb Bb D B R B D Bb D D Rb Db R D D D Rb D D R D Rb D L Db R D Lb Db D D Bb D D B D Bb Bb D F Db B D B Fb Db Bb Lb F L B Lb Fb L;110;B U2 B F' D R2 F F' D' F B F' R B' F L' F' D' F D' L B' F L' U L U' L' F' L' B R B R B' D' R' L D' L' F L' F' L B R' B' R B' D' B R' B D' B2 D B R B D B' D2 R' D' R D' R' D2 R D R' D L D' R D L' D' D2 B' D2 B D B2 D F D' B D B F' D' B' L' F L B L' F' L;100
B U U B Ub Bb Rb Rb L Db Lb D Rb D R Bb D B R D Rb D F Rb Db Fb Db F R Rb L Bb Bb R B U Rb Ub Lb D F R F Rb Db Fb D Rb Rb Rb B R Bb Db Rb B L B D B B Db Bb Lb Bb D R Db Rb B Rb Bb R Lb Db Fb D F L D Bb Lb F L B Lb Fb L;88;B U2 B U' B' R2 L D' L' D R' D R B' D B R D R' D F R' D' F' D' F R R' L B2 R B U R' U' L' D F R F R' D' F' D R B R B' D' R' B L B D B2 D' B' L' B' D R D' R' B R' B' R L' D' F' D F L D B' L' F L B L' F' L;82
Rb Db Bb Bb F Lb Fb D Fb Db F Rb Db Bb D Bb R B Db Bb Fb L D Lb F D Fb Fb Db Lb F L F B L B Lb Db Bb F Db Fb R Fb Rb F Lb B F Bb Bb Lb Fb L B L R F D Fb Db Rb D Fb Fb Bb U F B Ub Ub Bb Ub B Ub Bb Fb Ub Ub F U B F B R Fb Rb B B B R F Rb Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F;108;R' D' B2 F L' F' D F' D' F R' D' B' D B' R B D' B' F' L D L' F D F2 D' L' F L F B L B L' D' B' F D' F' R F' R' F L' B F B2 L' F' L B L R F D F' D' R' D F2 B' U F B U2 B' U' B U' B' F' U2 F U B F B R F' R' B' R F R' D' F' R' D R F D F2 R F R' F;97
U Lb Lb Bb L Bb Lb Ub F U Lb Db R D Rb Fb D F L D Lb R Bb Db Rb Db R B Fb Db F R D F Db Rb Bb Db Rb B R B L Db Lb F Lb Fb L Bb Rb Db B Rb Bb R D R Db B D F R Fb Rb Db R D F Db Rb Fb D Db Lb Fb Db F D L Db B Rb Lb R Lb Lb Rb Lb Bb L Bb L Bb R B Rb Lb R B Lb Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F Fb Rb Bb R B F Bb Rb B R;126;U L2 B' L B' L' U' F U L' D' R D R' F' D F L D L' R B' D' R' D' R B F' D' F R D F D' R' B' D' R' B R B L D' L' F L' F' L B' R' D' B R' B' R D R D' B D F R F' R' D' R D F D' R' F' D D' L' F' D' F D L D' B R' L' R L2 R' L' B' L B' L B' R B R' L' R B L' D' F' R' D R F D F2 R F R' F F' R' B' R B F B' R' B R;121
U R Fb L B Lb B R Bb Rb U B U Bb Rb Ub Bb F L Fb B R B R Bb Ub Bb U Fb L D Lb F D Fb Rb Fb Fb R F Db F R D R Db Rb Fb R Db Db Db Fb Rb Fb Fb B L B D B B Db Bb Lb Bb Bb Lb B D B Db Bb L D Rb Bb Db B D R Rb Rb Db Rb Db R D R D R Db R Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F Fb Rb Bb R B F Bb Rb B R;118;U R F' L B L' B R B' R' U B U B' R' U' B' F L F' B R B R B' U' B' U F' L D L' F D F' R' F2 R F D' F R D R D' R' F' R D F' R' F2 B L B D B2 D' B' L' B2 L' B D B D' B' L D R' B' D' B D R R2 D' R' D' R D R D R D' R D' F' R' D R F D F2 R F R' F F' R' B' R B F B' R' B R;108
F R Db Bb Bb Db Rb R D Rb Bb Db B D L B Lb D F D Fb R D Rb Db Rb Bb F Lb U L Ub Lb Fb Lb B Rb Lb B B Lb Lb B B L R B Rb Bb R Bb Db B Bb Lb B D B Db Bb L D R F D Fb Db Rb D Rb Bb L B R Bb Lb B Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F Fb Rb Bb R B F Bb Rb B R;102;F R D' B2 D' R' R D R' B' D' B D L B L' D F D F' R D R' D' R' B' F L' U L U' L' F' L' B R' L' B2 L2 B2 L R B R' B' R B' D' B B' L' B D B D' B' L D R F D F' D' R' D R' B' L B R B' L' B D' F' R' D R F D F2 R F R' F F' R' B' R B F B' R' B R;95
U R D F F Fb B D F Bb B R Bb Rb U B U Bb Rb Ub Rb Db B B D R L Rb Rb L Ub Ub Lb R R Lb Bb D B Lb Bb L B L Db Bb D R B R Bb Db Rb Bb Db B D R D Rb D L F L Fb Db Lb Fb Lb Fb R F L Rb F Rb Bb Db B D R L L D L Ub Db U Db Db Lb Db Lb Db Lb D Lb Db Ub D U Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F Fb Rb Bb R B F Bb Rb B R;126;U R D F2 F' B D F B' B R B' R' U B U B' R' U' R' D' B2 D R L R2 L U2 L' R2 L' B' D B L' B' L B L D' B' D R B R B' D' R' B' D' B D R D R' D L F L F' D' L' F' L' F' R F L R' F R' B' D' B D R L2 D L U' D' U D2 L' D' L' D' L' D L' D' U' D U D' F' R' D R F D F2 R F R' F F' R' B' R B F B' R' B R;116
R Ub Db F F Ub R U Fb Bb D B R D Rb Bb Bb F F Ub F F Bb Bb Bb R R B R B R B Db Rb Rb Db Fb Fb Rb F R F R F Rb Fb Fb R F Db F R L Db Lb F Lb Fb L D R R B R Db Bb R B D Bb D D F R Fb Rb Db R D F Db Rb Fb D Lb Fb Db F D Lb Lb Lb Lb D R Db L D Rb Db R B Fb Bb Rb B R F R R R Bb;112;R U' D' F2 U' R U F' B' D B R D R' B2 F2 U' F2 B R2 B R B R B D' R2 D' F2 R' F R F R F R' F2 R F D' F R L D' L' F L' F' L D R2 B R D' B' R B D B' D2 F R F' R' D' R D F D' R' F' D L' F' D' F D D R D' L D R' D' R B F' B' R' B R F R' B';94
Lb B Ub L U Bb Db F Db Fb Lb Bb Lb B Db L Fb D F Rb Db R D B R Bb Db Rb D R Fb R F Rb Rb Lb B B Lb Lb B B L R Db Lb D L Bb L B Lb Rb Db Rb D D D Rb D R D R D R F D Fb Db Rb D Rb Bb R Fb Rb B R F Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F R F L Fb Rb F Lb Fb;102;L' B U' L U B' D' F D' F' L' B' L' B D' L F' D F R' D' R D B R B' D' R' D R F' R F R2 L' B2 L2 B2 L R D' L' D L B' L B L' R' D' R' D' R' D R D R D R F D F' D' R' D R' B' R F' R' B R F D' F' R' D R F D F2 R F R' F R F L F' R' F L' F';93
Ub B Rb Fb R F D Bb Db B R R L L Ub Ub Lb R R Lb Fb Lb Fb L Db F R Lb Lb Ub Rb L Ub R U L B Rb Bb R Bb Db B Db Db Lb Db Bb L B L D F R F Rb Db Fb Db Db F Db Fb R Fb Rb F Bb Bb Bb D Bb Db Bb L B Lb R Db Fb Db F D D Rb Fb R Db Rb F Bb Lb F L B Lb Fb L;98;U' B R' F' R F D B' D' B R2 L2 U2 L' R2 L' F' L' F' L D' F R L2 U' R' L U' R U L B R' B' R B' D' B D2 L' D' B' L B L D F R F R' D' F' D2 F D' F' R F' R' F B D B' D' B' L B L' R D' F' D' F D2 R' F' R D' R' F B' L' F L B L' F' L;88
U R U Rb L Bb Rb B U Bb R Fb Db F Rb D R F D Fb Lb D L D F Lb Fb F Rb Db Fb Db F R L F L Fb Db Lb D F R R Fb Rb D Rb Fb Bb Rb Bb L B Lb R B Db Db F Db Fb R Fb Rb F Db Lb Fb Db F D Lb Lb Lb D Rb Db R D D D Rb D D R D Rb Bb Lb B R Bb L B D D Bb D D B D Bb Bb D F Db B D B Fb Db Bb Lb F L B Lb Fb L;120;U R U R' L B' R' B U B' R F' D' F R' D R F D F' L' D L D F L' F' F R' D' F' D' F R L F L F' D' L' D F R2 F' R' D R' F' B' R' B' L B L' R B D2 F D' F' R F' R' F D' L' F' D' F D L D R' D' R D' R' D2 R D R' B' L' B R B' L B D2 B' D2 B D B2 D F D' B D B F' D' B' L' F L B L' F' L;110
R D B B D Lb Db L Db Lb F F L Db R D Rb Lb D L D F Lb Fb Rb D R F D Fb Fb Db Lb F L F Db Lb Db Bb L B L L F L Bb Lb B Fb Lb Rb Db Rb D D D Rb D R D R Db Rb Bb Db B D R Rb Bb R Fb Rb B R F D Fb Db F B Db Db Fb Db F Db Db Bb Lb Fb Rb F L Fb R F;98;R D B2 D L' D' L D' L' F2 L D' R D R' L' D L D F L' F' R' D R F D F2 D' L' F L F D' L' D' B' L B L2 F L B' L' B F' L' R' D' R' D' R' D R D R D' R' B' D' B D R R' B' R F' R' B R F D F' D' F B D2 F' D' F D2 B' L' F' R' F L F' R F;90
U D D R R D Rb Db R D Fb Db F B Fb R R Bb F Lb Lb U Bb Ub L L Bb L B Rb Rb Db B D Rb Rb B Db Bb Fb Db Lb F L F B D L Bb Lb Bb D D Lb Db Bb L B L D D F Lb Fb L Fb Db F R D Rb Db Rb B R Bb D Rb Db Bb D B R Rb Bb Lb B R Bb L B D D Bb D D B D Bb Bb D F Db B D B Fb Db;108;U D2 R2 D R' D' R D F' D' F B F' R2 B' F L2 U B' U' L2 B' L B R2 D' B D R2 B D' B' F' D' L' F L F B D L B' L' B' D2 L' D' B' L B L D2 F L' F' L F' D' F R D R' D' R' B R B' D R' D' B' D B R R' B' L' B R B' L B D2 B' D2 B D B2 D F D' B D B F' D';96
U B B D D R R Fb D R R F Db R D Rb D Fb Db F Bb F Lb Lb B Fb Bb Db B D B Lb Db L Fb Lb Fb L D F Rb Lb B B Lb Lb B B L R Fb D F Lb F L Fb Fb Rb Db Fb R R F R D F Db R F D Fb Db Rb D Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F R F L Fb Rb F Lb Fb;98;U B2 D2 R2 F' D R2 F D' R D R' D F' D' F B' F L2 B F' B' D' B D B L' D' L F' L' F' L D F R' L' B2 L2 B2 L R F' D F L' F L F2 R' D' F' R2 F R D F D' R F D F' D' R' D D' F' R' D R F D F2 R F R' F R F L F' R' F L' F';85
L B R Lb F Rb L Db F Lb Fb Rb Db B B D R B Lb Db L Bb Db B B Fb R F Bb B L B Lb Db Bb Lb F L U L Ub Fb Lb Db L Fb Lb D L F Rb Bb Db B D R D Lb Db Fb D F L D Rb Bb L B R Lb Db Lb D L;74;L B R L' F R' L D' F L' F' R' D' B2 D R B L' D' L B' D' B2 F' R F B' B L B L' D' B' L' F L U L U' F' L' D' L F' L' D L F R' B' D' B D R D L' D' F' D F L D R' B' L B R L' D' L' D L;72
Fb Lb Lb U B Ub Rb Bb R Lb F Lb Fb Lb Lb Db Fb Db F D F Rb Db R Rb D R Bb Rb B R B Db Rb Rb Fb Fb R F Db F R Db Db L F L Fb Db Lb Fb D F Lb F L Fb D R Db Rb B Rb Bb R Db Db Bb Lb Fb L B Lb F L Rb Bb R Fb Rb B R F Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F R F L Fb Rb F Lb Fb;106;F' L2 U B U' R' B' R L' F L' F' L2 D' F' D' F D F R' D' R R' D R B' R' B R B D' R2 F2 R F D' F R D2 L F L F' D' L' F' D F L' F L F' D R D' R' B R' B' R D2 B' L' F' L B L' F L R' B' R F' R' B R F D' F' R' D R F D F2 R F R' F R F L F' R' F L' F';97
