Date;Start Run Timestamp;Parameter Set;Run Number;Run Duration (hh:mm:ss);Total Correct Pieces;Last Improvement Iteration;Sequence Length;Total Move Sequence;Improvement Count;Learned Sequence Reuse Count
2025-03-21;20:18:37;P2;145;00:05:52;14;12.000.000;104;L L B F R Bb Fb Db Db Lb Db Db L L F Lb Fb Db L D Lb Rb Fb Fb Rb Rb Fb Fb Rb Rb Fb Fb R R L R Lb U L Ub Lb Bb Ub B R F Lb Fb Rb F L Fb U L U Fb Fb L Fb Lb Fb Ub Ub Lb L Ub L R Lb U Lb R L Rb L Ub Lb Rb L U Lb Rb Lb R L R R R Fb R Lb Rb Fb Lb Fb L F L F R L Rb Lb R;3;7
2025-03-21;20:24:30;P2;146;00:07:04;14;0;94;B L Fb R U F Rb Rb Rb Rb Db R D B Rb Bb D B D B D Bb Db Bb Db Bb Lb D D F Lb Lb D D L L F Db Db Lb D L F D F Lb Fb Db Fb Lb Db F D Rb F F D D D D F F R F D F Db Fb Db Fb U L U L Ub Lb Ub Lb Ub L Db Rb D R D R D Ub Db U D Rb Db Rb;0;11
2025-03-21;20:31:35;P3;147;00:07:01;14;0;94;Lb F L Ub Lb F Db Fb L L U L L Lb Db Db L Bb L B U Bb Lb B U F Ub Bb U Fb Ub B Lb Db Rb Rb D L Db R R D Db F D Bb Bb Db Fb D Bb F Bb Fb Lb R R L Bb Rb Bb Rb Bb Bb Rb Rb Rb B Lb Lb R Lb Lb B Lb Db Db Db U U D U Db Db Lb Ub L U L U L U U U;0;12
2025-03-21;20:38:36;P1;148;00:06:38;14;4.050.000;108;L R Bb Lb Bb Bb L Fb L F U F Ub Bb U Fb Ub B Rb Bb Rb B R B R B Rb Bb D B D B D Bb Db Bb Db Bb Lb F L D Fb Lb Fb Db Fb L D L Rb D Rb B R Bb Db R Db B R Bb Lb F R Lb R L Rb F R F Rb Fb Rb Fb Rb Lb Lb Lb Lb Db Lb Db R Lb Lb Lb Rb D L D L Db Lb Db Db L D L D L L Db R Lb Rb Db;1;12
2025-03-21;20:45:14;P1;149;00:01:00;15;5.640.000;85;U Fb D B L Ub Lb F Db Fb Lb F F L Lb R F Rb L Fb B Rb Bb F U R Ub L U Rb Ub Lb B B L Bb Lb B B Ub L U Bb Ub Lb U Bb Bb Bb B L R Lb Bb Lb B Rb Bb L Rb Bb L R Lb Rb L B R Bb Lb Bb Bb Bb Fb Rb Fb Fb Fb L L Fb R F Lb Lb;1;12
2025-03-21;20:46:15;P3;150;00:07:04;14;0;84;Lb B Db Fb F U Fb Lb R Fb L Rb Ub R R U R R U Lb Db Lb D L L Db Lb D Lb Lb Db R D Lb Db Rb D Lb L F Lb Bb L Fb Lb B B U Bb Ub Bb Ub Bb U B U Ub Bb Ub Bb Ub B U B U B Rb F Rb Fb Fb B F F R F R R R Bb R F F R;0;12
2025-03-21;20:53:19;P3;151;00:00:00;15;0;91;L R Fb L F B Db R D Bb F Rb D R Fb F Db Fb Ub F D Fb U L L D L Db Lb Db L L L Db L D Lb B Rb Bb Lb B R Bb L Db U B Db Bb Ub B D Bb D Lb Lb Ub R Ub R Ub Lb U Rb U Lb Rb L U Lb Fb Bb F B Fb D B D B Db Db Bb Db Bb Db Fb Bb Bb Fb Fb;0;11
2025-03-21;20:53:19;P2;152;00:05:34;14;14.250.000;120;L B R Ub Bb U U Fb Lb F Ub Fb Lb B F Lb Bb L R U Rb Ub Rb Ub Rb U R U Db R D F Rb Fb F F Rb Db Fb Rb Db Db R D F R L R Bb Lb Bb Lb Bb L B L B Rb F B F D D F B B B B F Db Db F Bb F B Db Db Bb D Rb Db Rb Db Rb D R Db Db Db R Ub Ub R Db Rb Ub Ub R D Rb Rb L Bb Rb B B B Lb R R L R Bb R B R B R Lb R;4;10
2025-03-21;20:58:54;P2;153;00:06:23;16;27.450.000;113;R F Fb Db F L Fb Lb F B D Bb Db Db B Db Db Bb U Fb Ub B U F Ub Lb U L U L U Lb Ub Lb D Ub Db R Bb Rb Fb R B Rb F B Rb Bb Rb U R Ub R Bb L L Bb Bb F B Fb Bb L B Fb Bb F L B B L L Bb Rb Ub B U R Ub Ub Ub R Bb Rb Bb R Bb Bb R R Bb R Ub Rb L Rb Lb R Lb B L B Rb Lb R Bb Lb Bb Lb B R Lb Lb;1;12
2025-03-21;21:05:17;P2;154;00:07:05;14;0;84;B Db L L Bb Bb Ub B Db B D Bb D L Db Lb Lb R U Rb L R F F Rb D Rb Rb Rb B R Bb Db Rb Db Rb Db F D R D F Rb Fb U Fb Ub Fb Ub Fb U F U F Lb F Rb L R R Lb F R Fb Rb Fb Rb Fb Lb Rb Lb Lb R R R F R Fb Rb Fb Rb Fb R F;0;12
